s,id
http://dbpedia.org/resource/Abbe_Lane,2205692
http://dbpedia.org/resource/Jimena_Barón,17441602
http://dbpedia.org/resource/Guy_Lafitte,10925966
http://dbpedia.org/resource/Dominique_Jameux,54550593
http://dbpedia.org/resource/Phil_Berg_(talent_agent),65723345
http://dbpedia.org/resource/Kazuma_Sano,52401446
http://dbpedia.org/resource/Keith_Sterling,34854217
http://dbpedia.org/resource/Johnny_Green,3634591
http://dbpedia.org/resource/Udesh_Shrestha,54393783
http://dbpedia.org/resource/Greg_Banaszak,3256685
http://dbpedia.org/resource/Killah_Priest,705165
http://dbpedia.org/resource/Tais_Teng,6393313
http://dbpedia.org/resource/Jacki-O,18047601
http://dbpedia.org/resource/Mike_Morasky,32442400
http://dbpedia.org/resource/Suna_Kan,1355287
http://dbpedia.org/resource/Vincent_Taylor_(musician),39637341
http://dbpedia.org/resource/Elaine_Bradley,31509353
http://dbpedia.org/resource/Brian_Greenway,25522049
http://dbpedia.org/resource/Erika_Sawajiri,3942744
http://dbpedia.org/resource/Jennifer_Pascual,43499348
http://dbpedia.org/resource/Marvin_Stamm,15707096
http://dbpedia.org/resource/Gerardo_Matos_Rodríguez,2655534
http://dbpedia.org/resource/Raden_Machjar_Angga_Koesoemadinata,23757092
http://dbpedia.org/resource/Shamari_Fears,6242990
http://dbpedia.org/resource/Šerif_Konjević,7340504
http://dbpedia.org/resource/Carl_Douglas,762840
http://dbpedia.org/resource/Rudolph_Koenig,196224
http://dbpedia.org/resource/Susan_G._Cole,26944201
http://dbpedia.org/resource/Kevin_Sharp,4432855
http://dbpedia.org/resource/Nick_Rhodes,207591
http://dbpedia.org/resource/Billy_Milano,2300926
http://dbpedia.org/resource/Benjamin_Flores_Jr.,34006449
http://dbpedia.org/resource/Keith_Knudsen,5764028
http://dbpedia.org/resource/Lois_Towles,64462922
http://dbpedia.org/resource/Dominguinhos,25646577
http://dbpedia.org/resource/Pussy_Riot,34684163
http://dbpedia.org/resource/Kerry_Gordy,16837034
http://dbpedia.org/resource/Phyllis_Hyman,978583
http://dbpedia.org/resource/DJ_Official,45377344
http://dbpedia.org/resource/Gregory_H._Watkins,33464922
http://dbpedia.org/resource/Nick_O'Malley,5299408
http://dbpedia.org/resource/Jeremy_Olander,45137914
http://dbpedia.org/resource/Jimmy_Shubert,64061004
http://dbpedia.org/resource/Janis_Hansen_(singer),23283034
http://dbpedia.org/resource/Derek_Minor,37966093
http://dbpedia.org/resource/Josh_Fauver,58967305
http://dbpedia.org/resource/Tamyra_Gray,657623
http://dbpedia.org/resource/Mindi_Dickstein,42412720
http://dbpedia.org/resource/Sander_Kleinenberg,1838691
http://dbpedia.org/resource/Creep_(band),43390889
http://dbpedia.org/resource/Lee_Guk-joo,43827749
http://dbpedia.org/resource/Elisabeth_Lid_Trøen,56941108
http://dbpedia.org/resource/B.o.B,20116909
http://dbpedia.org/resource/Barry_Young_(musician),18136946
http://dbpedia.org/resource/Elizaveta_Khripounova,2564745
http://dbpedia.org/resource/Nori_Shiraishi,61228276
http://dbpedia.org/resource/Ben_Carter_(actor),44396287
http://dbpedia.org/resource/Matt_Lunsford,27271033
http://dbpedia.org/resource/Static_Major,1575318
http://dbpedia.org/resource/Vaccine_(musician),17939324
http://dbpedia.org/resource/Richard_Bonelli,31599032
http://dbpedia.org/resource/Sarah_Geronimo,1803607
http://dbpedia.org/resource/Rusty_Hopkinson,7089780
http://dbpedia.org/resource/Hélène_Grimaud,1239407
http://dbpedia.org/resource/Edith_Swepstone,29573689
http://dbpedia.org/resource/Dave_%22Baby%22_Cortez,1598086
http://dbpedia.org/resource/Dann_Huff,3151608
http://dbpedia.org/resource/Gary_Holland,28284367
http://dbpedia.org/resource/Bjørn_Torske,1418692
http://dbpedia.org/resource/Eric_Wong,50970715
http://dbpedia.org/resource/Tommy_Flanders,61011315
http://dbpedia.org/resource/Stanley_Sadie,1640333
http://dbpedia.org/resource/Karólína_Eiríksdóttir,29313440
http://dbpedia.org/resource/Jimmy_Roselli,12654441
http://dbpedia.org/resource/Tom_Hamilton_Jr.,26758543
http://dbpedia.org/resource/Danielle_Charbonneau,10077862
http://dbpedia.org/resource/Ray_Keith,42384243
http://dbpedia.org/resource/Chris_Brown,2627820
http://dbpedia.org/resource/Ingrid_Stampa,48344982
http://dbpedia.org/resource/...And_You_Will_Know_Us_by_the_Trail_of_Dead,425231
http://dbpedia.org/resource/Jean_Gabin,1115155
http://dbpedia.org/resource/Karl_Brazil,30594171
http://dbpedia.org/resource/Astrid_Williamson,5948865
http://dbpedia.org/resource/George_William_Fullerton,29678764
http://dbpedia.org/resource/Puchi_Balseiro,11744470
http://dbpedia.org/resource/Shawn_Thomas_Odyssey,39034349
http://dbpedia.org/resource/Jacquie_Lee,41397009
http://dbpedia.org/resource/James_Litherland,24854131
http://dbpedia.org/resource/Catharine_Wernicke,62431776
http://dbpedia.org/resource/Logan_Paul,50654292
http://dbpedia.org/resource/Bubba_Sparxxx,514952
http://dbpedia.org/resource/Vincent_Herring,3784508
http://dbpedia.org/resource/Victor_Massé,3748670
http://dbpedia.org/resource/Zeus_B._Held,13897460
http://dbpedia.org/resource/Phil_Coulter,1613019
http://dbpedia.org/resource/Bob_Crewe,3381687
http://dbpedia.org/resource/Alex_Gray_(author),22965710
http://dbpedia.org/resource/Dina_Nurpeisova,49023322
http://dbpedia.org/resource/Hugo_Fattoruso,33276199
http://dbpedia.org/resource/Chunja_(singer),38088833
http://dbpedia.org/resource/Teresa_Żylis-Gara,6986696
http://dbpedia.org/resource/Jamie_Pineda,19287950
http://dbpedia.org/resource/Wreckless_Eric,1308802
http://dbpedia.org/resource/Léon_Bernier,41591637
http://dbpedia.org/resource/Margie_Singleton,9528173
http://dbpedia.org/resource/Johanna_Fiedler,31979201
http://dbpedia.org/resource/John_Lilley,12989205
http://dbpedia.org/resource/Matthew_West,7198855
http://dbpedia.org/resource/Nic_Fanciulli,60277301
http://dbpedia.org/resource/Dan_Black,2658038
http://dbpedia.org/resource/The_Wallflowers,883719
http://dbpedia.org/resource/Angela_Gossow,2178819
http://dbpedia.org/resource/Aki_Takase,8707215
http://dbpedia.org/resource/Fly_Young_Red,42589528
http://dbpedia.org/resource/Don_Drummond,696043
